,Original_Tweet,Sentiment,message
0,"@vinodkapri @RahulGandhi Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 Mohandas Karamchand Gandhi.",Negative,"@vinodkapri @RahulGandhi Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 Mohandas Karamchand Gandhi."
1,"*Respected Indian Citizens,* Namaskaar I Am The Original Gandhi. I Have No Branches Or Franchises. None Of My Relatives Are In Politics. Beware Of Fake Gandhi's. Take Care,,,_ https://t.co/0OFay52fqP",Negative,"*Respected Indian Citizens,* Namaskaar I Am The Original Gandhi. I Have No Branches Or Franchises. None Of My Relatives Are In Politics. Beware Of Fake Gandhi's. Take Care,,,_ https://t.co/0OFay52fqP"
2,"1/n-Meet Filmmaker Prakash Jha in New Jersey talking on Social Justice,Power,&amp;Politics in Indian Cinema @Princeton University(April 11-28,2023) Artist-In-Residence@PrincetonCGI.See full program https://t.co/tDkpIv03Z0
@PrincetonPubLec @PrincetonHum @PrincetonPIIRS @PJP_Online https://t.co/RMcBwf64Qx",Positive,"1/n-Meet Filmmaker Prakash Jha in New Jersey talking on Social Justice,Power,&amp;Politics in Indian Cinema @Princeton University(April 11-28,2023) Artist-In-Residence@PrincetonCGI.See full program https://t.co/tDkpIv03Z0
@PrincetonPubLec @PrincetonHum @PrincetonPIIRS @PJP_Online https://t.co/RMcBwf64Qx"
3,@MrinalWahal Why would politicians stop using religion in politics when indian institutions incentivizes that,Neutral,@MrinalWahal Why would politicians stop using religion in politics when indian institutions incentivizes that
4,"@annamalai_k @narendramodi A state level president knows the policy of the PM, but the union minister who authorised the notification to be sent does not know about PMs policy. Who are you trying to cheat? Don’t forget that you cannot cheat the people of TN, they are way to smart to understand politics",Positive,"@annamalai_k @narendramodi A state level president knows the policy of the PM, but the union minister who authorised the notification to be sent does not know about PMs policy. Who are you trying to cheat? Don’t forget that you cannot cheat the people of TN, they are way to smart to understand politics"
5,@IAMCouncil @POTUS @Ilhan @bridgeinit OK this lady now has no issues with US. That she has to poke her dirty nose into Indian politics. 2024 Modi and BJP have to fight international forces. Would be an achievement even if they scrap through!!,Negative,@IAMCouncil @POTUS @Ilhan @bridgeinit OK this lady now has no issues with US. That she has to poke her dirty nose into Indian politics. 2024 Modi and BJP have to fight international forces. Would be an achievement even if they scrap through!!
6,"@darrengrimes_ Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked",Neutral,"@darrengrimes_ Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked"
7,"@PeterStefanovi2 Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked",Neutral,"@PeterStefanovi2 Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked"
8,"Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked",Neutral,"Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked"
9,"@BesuraTaansane @KartiPC @PChidambaram_IN The problem with Indian politics and politicians is they don't remember this is democracy and in democracy people are the boss. From people too, I don't understand why we think a politician son as a natural alternative to The aged politician?This is ridiculous, this is one reason",Negative,"@BesuraTaansane @KartiPC @PChidambaram_IN The problem with Indian politics and politicians is they don't remember this is democracy and in democracy people are the boss. From people too, I don't understand why we think a politician son as a natural alternative to The aged politician?This is ridiculous, this is one reason"
